East,North, Easting,Northing
App1BStripE,App1BStripN,745754.495,2122397.349
App2BStripE ,App2BStripN,743349.257,2122670.09
AppLineE,AppLineN,760637.079,2120524.197
RAppLineE,RAppLineN,728467.437,2124549.304
App1StripRightE,App1StripRightN,745686.209,2122335.392
App1StripLeftE,App1StripLeftN,745703.749,2122474.289
App1BSLE,App1BSLN,745745.739,2122327.899
App1BSRE,App1BSRN,745763.279,2122466.796
App2BSLE,App2BSLN,743340.501,2122600.64
App2BSRE,App2BSRN,743358.041,2122739.537
AppUppCord1E,AppUppCord1N,760366.969,2118978.326
AppUppCord1ELeft,AppUppCord1NLeft,760758.13,2122073.786
AppUpperCLineE,AppUpperCLineN,760637.079,2120524.197
AppLwrCord1E,AppLwrCord1N,728345.42,2122984.763
AppLwrCord1ELeft,AppLwrCord1NLeft,728738.177,2126095.066
AppLwrCLineE,AppLwrCLineN,728467.437,2124549.304
App1TSLeftE,App1TSLeftN,745706.339,2122015.373
App1TSRightE,App1TSRightN,745802.806,2122779.306
App2TSLeftE,App2TSLeftN,743301.101,2122288.114
App2TSRightE,App2TSRightN,743397.568,2123052.047
App1TsPointE,App1TsPointN,747986.883,2122116.376
App2TsPointE,App2TsPointN,741116.984,2122951.972
App1TsFunnelLE,App1TsFunnelLN,747949.985,2121823.693
App2TsFunnelRE,App2TsFunnelRN,741080.086,2122659.289
App1TsFunnelLLwrE,App1TsFunnelLLwrN,748023.955,2122409.037
App2TsFunnelRLwrE,App2TsFunnelRLwrN,741154.001,2123244.64
AppBtnCord1E ,AppBtnCord1N,760682.837,2122017.361
App2StripRightE,App2StripRightN,743417.581,2122732.018
App2StripLeftE,App2StripLeftN,743400.028,2122593.123
